model_size,trace_length,monitor_synthesis_time [sec],monitor_time_prism [sec],monitor_time_per_event_prism [sec],monitor_time_storm [sec],monitor_time_per_event_storm [sec]
100,50,0.3275144577026367,16.204052352905272,0.3240810470581054,1.0237011909484863,0.020474023818969726
100,100,0.3060014724731445,31.41396508216858,0.3141396508216858,2.0738454341888426,0.020738454341888427
100,150,0.3653698444366455,59.044740724563596,0.393631604830424,3.655420160293579,0.02436946773529053
100,200,0.3540332317352295,72.85189270973206,0.3642594635486603,4.457969093322754,0.02228984546661377
100,250,0.2933667182922363,73.26414632797241,0.29305658531188966,4.875561094284057,0.01950224437713623
100,300,0.2945537567138672,91.47637100219727,0.3049212366739909,5.98536376953125,0.019951212565104168
100,350,0.30185484886169434,105.64534726142884,0.3018438493183681,6.9086387157440186,0.019738967759268623
100,400,0.29135642051696775,120.60654039382935,0.30151635098457336,7.74566125869751,0.019364153146743775
100,450,0.29077835083007814,135.04716386795045,0.3001048085954454,8.728070640563965,0.01939571253458659
100,500,0.31416001319885256,164.62235083580018,0.32924470167160036,10.510128259658813,0.021020256519317628
200,50,0.3734950065612793,17.21974911689758,0.3443949823379516,1.307615041732788,0.02615230083465576
200,100,0.3827540874481201,34.67335224151611,0.34673352241516114,2.6290149688720703,0.026290149688720704
200,150,0.35321674346923826,47.271171522140506,0.3151411434809367,3.6823519706726073,0.02454901313781738
200,200,0.3212759494781494,58.97462320327759,0.29487311601638794,4.694722270965576,0.02347361135482788
200,250,0.3228752613067627,73.58611707687378,0.2943444683074951,5.8795287132263185,0.023518114852905274
200,300,0.34010891914367675,95.16236071586609,0.31720786905288695,7.408186292648315,0.024693954308827717
200,350,0.38609514236450193,122.545263671875,0.3501293247767857,9.011707878112793,0.02574773679460798
200,400,0.3675869941711426,145.09420404434204,0.3627355101108551,10.325849103927613,0.025814622759819033
200,450,0.3480206489562988,152.69306688308717,0.33931792640686037,10.883737373352051,0.02418608305189345
200,500,0.32697038650512694,163.0023964881897,0.3260047929763794,11.963375043869018,0.023926750087738036
300,50,0.372312068939209,15.873446941375732,0.31746893882751465,1.3852374076843261,0.027704748153686523
300,100,0.5016546726226807,35.35485486984253,0.3535485486984253,3.082539463043213,0.03082539463043213
300,150,0.5049108505249024,49.60414323806763,0.33069428825378416,4.268473339080811,0.028456488927205405
300,200,0.3673079490661621,65.12728385925293,0.32563641929626463,5.488720512390136,0.02744360256195068
300,250,0.4794935703277588,80.85373239517212,0.32341492958068846,7.054801654815674,0.028219206619262697
300,300,0.49240961074829104,111.28876004219055,0.3709625334739685,10.072709321975708,0.03357569773991902
300,350,0.47097177505493165,127.58105516433716,0.36451730046953473,10.866504764556884,0.031047156470162526
300,400,0.471971321105957,146.29703302383422,0.3657425825595855,12.565992212295532,0.03141498053073883
300,450,0.469618034362793,164.65142998695373,0.36589206663767493,14.029798650741578,0.031177330334981282
300,500,0.5272119998931885,183.21346564292907,0.3664269312858581,15.600938558578491,0.03120187711715698
400,50,0.55567307472229,18.393047428131105,0.3678609485626221,1.7820411682128907,0.03564082336425781
400,100,0.5412246227264405,36.6097243309021,0.366097243309021,3.5531466484069822,0.035531466484069824
400,150,0.5519843101501465,54.96759371757507,0.3664506247838338,5.385334396362305,0.03590222930908203
400,200,0.5283839225769043,73.50894804000855,0.36754474020004274,7.19024338722229,0.03595121693611145
400,250,0.5401846408843994,91.62106819152832,0.3664842727661133,8.958821153640747,0.035835284614562986
400,300,0.5625049114227295,111.58973550796509,0.3719657850265503,10.636568880081176,0.03545522960027059
400,350,0.5502426624298096,126.5897072315216,0.36168487780434744,12.373257732391357,0.03535216494968959
400,400,0.5004307746887207,144.0577419757843,0.36014435493946073,13.811438989639282,0.034528597474098206
400,450,0.5029635906219483,153.3619608402252,0.3408043574227227,15.401275014877319,0.034225055588616264
400,500,0.5504261970520019,175.06721529960632,0.3501344305992126,17.74732427597046,0.03549464855194092
500,50,0.5934492111206054,17.938113594055174,0.3587622718811035,1.9365365982055665,0.03873073196411133
500,100,0.5910821437835694,35.86188082695007,0.3586188082695007,3.9316728591918944,0.03931672859191895
500,150,0.5706552982330322,54.35262575149536,0.3623508383433024,5.826099586486817,0.03884066390991211
500,200,0.6011818885803223,71.66674976348877,0.35833374881744384,7.855504846572876,0.039277524232864375
500,250,0.5780098915100098,89.6018172264099,0.3584072689056396,9.637000465393067,0.03854800186157227
500,300,0.5800251007080078,107.55554466247558,0.35851848220825194,11.748605012893677,0.039162016709645586
500,350,0.623200798034668,125.85861525535583,0.3595960435867309,13.577773904800415,0.038793639728001185
500,400,0.5825079441070556,144.09307250976562,0.36023268127441405,15.666146802902222,0.03916536700725556
500,450,0.597688865661621,162.74032640457153,0.36164516978793676,17.87132325172424,0.03971405167049832
500,500,0.6637933731079102,179.88773922920228,0.3597754784584046,19.623848724365235,0.03924769744873047
600,50,0.7272533893585205,18.087090492248535,0.36174180984497073,2.1811129570007326,0.04362225914001465
600,100,0.7035428047180176,36.141082525253296,0.361410825252533,4.370230340957642,0.04370230340957642
600,150,0.6997071743011475,54.268120002746585,0.36178746668497724,6.545661449432373,0.04363774299621582
600,200,0.7199282169342041,72.38808479309083,0.3619404239654541,8.807309675216676,0.044036548376083375
600,250,0.7201809883117676,93.94309253692627,0.3757723701477051,11.265354251861572,0.045061417007446286
600,300,0.7206716537475586,113.03314161300659,0.376777138710022,13.557623767852784,0.04519207922617594
600,350,0.7382684230804444,131.63668069839477,0.37610480199541363,15.794969415664672,0.04512848404475621
